H                            InChI=1S/H
CH3OCH2O                     InChI=1S/C2H5O2/c1-4-2-3/h2H2,1H3
CH2CHOH-1OOH                 InChI=1S/C2H5O3/c1-2(3)5-4/h2-4H,1H2
C2H3O1-2                     InChI=1S/C2H3O/c1-2-3-1/h1H,2H2
CH2COOH                      InChI=1S/C2H3O2/c1-2(3)4/h1H2,(H,3,4)
C2H5O2H                      InChI=1S/C2H6O2/c1-2-4-3/h3H,2H2,1H3
CH3OCH2O2                    InChI=1S/C2H5O3/c1-4-2-5-3/h2H2,1H3
CH3CO                        InChI=1S/C2H3O/c1-2-3/h1H3
HOCH2CO                      InChI=1S/C2H3O2/c3-1-2-4/h3H,1H2
CHOOCO                       InChI=1S/C2HO3/c3-1-5-2-4/h1H
CH2OCH2O2H                   InChI=1S/C2H5O3/c1-4-2-5-3/h3H,1-2H2
CH2CHO                       InChI=1S/C2H3O/c1-2-3/h2H,1H2
C2H3OO                       InChI=1S/C2H3O2/c1-2-4-3/h2H,1H2
O2CH2CHO                     InChI=1S/C2H3O3/c3-1-2-5-4/h1H,2H2
CH3OCH2O2H                   InChI=1S/C2H6O3/c1-4-2-5-3/h3H,2H2,1H3
C2H2OH                       InChI=1S/C2H3O/c1-2-3/h1-3H
CH3CO2                       InChI=1S/C2H3O2/c1-2(3)4/h1H3
HO2CH2CO                     InChI=1S/C2H3O3/c3-1-2-5-4/h4H,2H2
HO2CH2OCHO                   InChI=1S/C2H4O4/c3-1-5-2-6-4/h1,4H,2H2
SC2H2OH                      InChI=1S/C2H3O/c1-2-3/h3H,1H2
CH3OCO                       InChI=1S/C2H3O2/c1-4-2-3/h1H3
CH3CO3                       InChI=1S/C2H3O3/c1-2(3)5-4/h1H3
O2CH2OCH2O2H                 InChI=1S/C2H5O5/c3-6-1-5-2-7-4/h3H,1-2H2
C3H2                         InChI=1S/C3H2/c1-3-2/h1-2H
C2H5CO                       InChI=1S/C3H5O/c1-2-3-4/h2H2,1H3
C3H5-TO2                     InChI=1S/C3H5O2/c1-3(2)5-4/h1H2,2H3
C3H5O1-2OOH-3                InChI=1S/C3H6O3/c4-6-2-3-1-5-3/h3-4H,1-2H2
H2CCC(S)                     InChI=1S/C3H2/c1-3-2/h1H2
CH2CH2CHO                    InChI=1S/C3H5O/c1-2-3-4/h3H,1-2H2
C3H5-SO2                     InChI=1S/C3H5O2/c1-2-3-5-4/h2-3H,1H3
C3H5O1-3OOH-2                InChI=1S/C3H6O3/c4-6-3-1-5-2-3/h3-4H,1-2H2
C3H2(S)                      InChI=1S/C3H2/c1-3-2/h1-2H
CH3COCH2                     InChI=1S/C3H5O/c1-3(2)4/h1H2,2H3
CH2COOCH3                    InChI=1S/C3H5O2/c1-3(4)5-2/h1H2,2H3
C3KET21                      InChI=1S/C3H6O3/c1-3(4)2-6-5/h5H,2H2,1H3
C3H2C                        InChI=1S/C3H2/c1-2-3-1/h1-2H
PC3H4OH-1                    InChI=1S/C3H5O/c1-2-3-4/h2,4H,1H3
CH3COOCH2                    InChI=1S/C3H5O2/c1-3(4)5-2/h2H2,1H3
CH2COHCH2OOH                 InChI=1S/C3H6O3/c1-3(4)2-6-5/h4-5H,1-2H2
C3H3                         InChI=1S/C3H3/c1-3-2/h1H,2H2
SC3H5OH                      InChI=1S/C3H6O/c1-2-3-4/h2-4H,1H3
C2H5OCO                      InChI=1S/C3H5O2/c1-2-5-3-4/h2H2,1H3
C3H6OH-1O2                   InChI=1S/C3H7O3/c1-2-3(4)6-5/h3-4H,2H2,1H3
C3H4-P                       InChI=1S/C3H4/c1-3-2/h1H,2H3
C3H6O1-2                     InChI=1S/C3H6O/c1-3-2-4-3/h3H,2H2,1H3
HOC2H4CO                     InChI=1S/C3H5O2/c4-2-1-3-5/h4H,1-2H2
C3H4-A                       InChI=1S/C3H4/c1-3-2/h1-2H2
C3H6O1-3                     InChI=1S/C3H6O/c1-2-4-3-1/h1-3H2
CH3COCH2O                    InChI=1S/C3H5O2/c1-3(5)2-4/h2H2,1H3
HOC3H6O2                     InChI=1S/C3H7O3/c1-3(2-4)6-5/h3-4H,2H2,1H3
CC3H4                        InChI=1S/C3H4/c1-2-3-1/h1-2H,3H2
IC3H5OH                      InChI=1S/C3H6O/c1-3(2)4/h4H,1H2,2H3
HOCH2COCH2                   InChI=1S/C3H5O2/c1-3(5)2-4/h4H,1-2H2
IC3H6OH-1O2                  InChI=1S/C3H7O3/c1-3(4)2-6-5/h3-4H,2H2,1H3
C3H5-A                       InChI=1S/C3H5/c1-3-2/h3H,1-2H2
C3H5OH                       InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2
CH3COCHOH                    InChI=1S/C3H5O2/c1-3(5)2-4/h2,4H,1H3
C3H6OH-3OOH-1                InChI=1S/C3H7O3/c4-2-1-3-6-5/h2,4-5H,1,3H2
C3H5-S                       InChI=1S/C3H5/c1-3-2/h1,3H,2H3
C2H5CHO                      InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3
CH2OCH2CHO                   InChI=1S/C3H5O2/c1-5-3-2-4/h2H,1,3H2
C3H6OH-3O2                   InChI=1S/C3H7O3/c4-2-1-3-6-5/h4H,1-3H2
C3H5-T                       InChI=1S/C3H5/c1-3-2/h1H2,2H3
CH3COCH3                     InChI=1S/C3H6O/c1-3(2)4/h1-2H3
C2H4OCHO                     InChI=1S/C3H5O2/c1-3(5)2-4/h2-3H,1H3
ME2VOMJVO                    InChI=1S/C3HO4/c4-1-3(6)7-2-5/h1H
C3H6                         InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3
C3H6OH1-2                    InChI=1S/C3H7O/c1-2-3-4/h2,4H,3H2,1H3
C3Y1-3OR                     InChI=1S/C3H5O2/c4-2-1-3-5/h2H,1,3H2
ME2JVOMVO                    InChI=1S/C3HO4/c4-1-3(6)7-2-5/h2H
CC3H6                        InChI=1S/C3H6/c1-2-3-1/h1-3H2
C3H6OH1-1                    InChI=1S/C3H7O/c1-2-3-4/h3-4H,2H2,1H3
CH3COOCH3                    InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3
ME2VOMVO                     InChI=1S/C3H2O4/c4-1-3(6)7-2-5/h1-2H
IC3H7                        InChI=1S/C3H7/c1-3-2/h3H,1-2H3
C3H6OH1-3                    InChI=1S/C3H7O/c1-2-3-4/h4H,1-3H2
HOC2H4CHO                    InChI=1S/C3H6O2/c4-2-1-3-5/h2,5H,1,3H2
HO2CH2COCHO                  InChI=1S/C3H4O4/c4-1-3(5)2-7-6/h1,6H,2H2
NC3H7                        InChI=1S/C3H7/c1-3-2/h1,3H2,2H3
C3H6OH2-1                    InChI=1S/C3H7O/c1-3(2)4/h3-4H,1H2,2H3
AC3H5OOH                     InChI=1S/C3H6O2/c1-2-3-5-4/h2,4H,1,3H2
OOCC(VO)COJ                  InChI=1S/C3H5O4/c4-1-3(5)2-7-6/h6H,1-2H2
C3H8                         InChI=1S/C3H8/c1-3-2/h3H2,1-2H3
NC3H7O                       InChI=1S/C3H7O/c1-2-3-4/h2-3H2,1H3
IC3H5Q                       InChI=1S/C3H6O2/c1-3(2)5-4/h4H,1H2,2H3
C3OHKET3-1                   InChI=1S/C3H6O4/c4-2-1-3(5)7-6/h2-3,5-6H,1H2
C2HCHO                       InChI=1S/C3H2O/c1-2-3-4/h1,3H
IC3H7O                       InChI=1S/C3H7O/c1-3(2)4/h3H,1-2H3
C2H5COOH                     InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)
C#CCJOH                      InChI=1S/C3H3O/c1-2-3-4/h1,3-4H
TC3H6OH                      InChI=1S/C3H7O/c1-3(2)4/h4H,1-2H3
NC3H7O2                      InChI=1S/C3H7O2/c1-2-3-5-4/h2-3H2,1H3
C3H6OOH1-2O2                 InChI=1S/C3H7O4/c1-3(7-5)2-6-4/h3-4H,2H2,1H3
C2H3CO                       InChI=1S/C3H3O/c1-2-3-4/h2H,1H2
NC3H7OH                      InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3
IC3H7O2                      InChI=1S/C3H7O2/c1-3(2)5-4/h3H,1-2H3
C3H6OOH1-3O2                 InChI=1S/C3H7O4/c4-6-2-1-3-7-5/h4H,1-3H2
CJVCCVO                      InChI=1S/C3H3O/c1-2-3-4/h1-3H
IC3H7OH                      InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3
C3H6OOH1-2                   InChI=1S/C3H7O2/c1-2-3-5-4/h2,4H,3H2,1H3
C3H6OOH2-1O2                 InChI=1S/C3H7O4/c1-3(7-5)2-6-4/h3,5H,2H2,1H3
C3H3O                        InChI=1S/C3H3O/c1-2-3-4/h3H,1H2
OVCCVCVO                     InChI=1S/C3H2O2/c4-2-1-3-5/h1-2H
C3H6OOH1-3                   InChI=1S/C3H7O2/c1-2-3-5-4/h4H,1-3H2
C3H51-2,3OOH                 InChI=1S/C3H7O4/c1-3(7-5)2-6-4/h3-5H,1-2H2
CHCCH2OH                     InChI=1S/C3H4O/c1-2-3-4/h1,4H,3H2
C3Y12-1R                     InChI=1S/C3H3O2/c1-3(5)2-4/h1H3
C3H6OOH2-1                   InChI=1S/C3H7O2/c1-3(2)5-4/h3-4H,1H2,2H3
C3H52-1,3OOH                 InChI=1S/C3H7O4/c4-6-2-1-3-7-5/h1,4-5H,2-3H2
CH3CHCO                      InChI=1S/C3H4O/c1-2-3-4/h2H,1H3
OVCCJCVO                     InChI=1S/C3H3O2/c4-2-1-3-5/h1-3H
NC3H7O2H                     InChI=1S/C3H8O2/c1-2-3-5-4/h4H,2-3H2,1H3
ME2VOMOOH                    InChI=1S/C3H4O5/c4-1-3(5)7-2-8-6/h1,6H,2H2
C2H3CHO                      InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2
OVCCCJVO                     InChI=1S/C3H3O2/c4-2-1-3-5/h2H,1H2
IC3H7O2H                     InChI=1S/C3H8O2/c1-3(2)5-4/h3-4H,1-2H3
O2CH2COCH2O2H                InChI=1S/C3H5O5/c4-3(1-7-5)2-8-6/h5H,1-2H2
PC3H4OH-3                    InChI=1S/C3H5O/c1-2-3-4/h2-4H,1H2
ME2JVO                       InChI=1S/C3H3O3/c1-6-3(5)2-4/h1H3
C3Y3Q1-2J                    InChI=1S/C3H5O3/c4-2-1-3-6-5/h1-2,5H,3H2
CYC2OCHO                     InChI=1S/C3H4O2/c4-1-3-2-5-3/h1,3H,2H2
C3H5O                        InChI=1S/C3H5O/c1-2-3-4/h2H,1,3H2
CH2COHCO                     InChI=1S/C3H3O2/c1-3(5)2-4/h5H,1H2
ME2VOMJ                      InChI=1S/C3H3O3/c1-6-3(5)2-4/h2H,1H2
CO(CH2OOH)2                  InChI=1S/C3H6O5/c4-3(1-7-5)2-8-6/h5-6H,1-2H2
CH2CHOCH2                    InChI=1S/C3H5O/c1-3-4-2/h3H,1-2H2
C3Y12                        InChI=1S/C3H4O2/c1-3(5)2-4/h2H,1H3
ME2VO                        InChI=1S/C3H4O3/c1-6-3(5)2-4/h2H,1H3
CH3CHCHO                     InChI=1S/C3H5O/c1-2-3-4/h2-3H,1H3
C3H3O2H                      InChI=1S/C3H4O2/c1-2-3-5-4/h3-4H,1H2
CH3COCH2O2                   InChI=1S/C3H5O3/c1-3(4)2-6-5/h2H2,1H3
C3H6OH-3OOH-1O2              InChI=1S/C3H7O5/c4-3(8-6)1-2-7-5/h3-5H,1-2H2
CH2CCH2OH                    InChI=1S/C3H5O/c1-2-3-4/h4H,1,3H2
OVCCCVO                      InChI=1S/C3H4O2/c4-2-1-3-5/h2-3H,1H2
CH2COCH2O2H                  InChI=1S/C3H5O3/c1-3(4)2-6-5/h5H,1-2H2
C3Y3OH1-2J                   InChI=1S/C3H5O2/c4-2-1-3-5/h1-2,5H,3H2
PC3H4OH-2                    InChI=1S/C3H5O/c1-2-3-4/h3-4H,1H3
CH3COHCO                     InChI=1S/C3H4O2/c1-3(5)2-4/h5H,1H3
C3KET12                      InChI=1S/C3H6O3/c1-3(2-4)6-5/h2-3,5H,1H3
C3Y3OH1-2O2                  InChI=1S/C3H5O4/c4-1-3(2-5)7-6/h1,3,5H,2H2
SC3H4OH                      InChI=1S/C3H5O/c1-3(2)4/h4H,1-2H2
CH2COHCHO                    InChI=1S/C3H4O2/c1-3(5)2-4/h2,5H,1H2
C3KET13                      InChI=1S/C3H6O3/c4-2-1-3-6-5/h2,5H,1,3H2
C3Y3Q2-1J                    InChI=1S/C3H5O3/c1-3(2-4)6-5/h2-3,5H,1H2
IC3H6OH-1OOH-3               InChI=1S/C3H7O3/c1-3(4)2-6-5/h3-5H,1-2H2
IC3H6OH-1OOH-2               InChI=1S/C3H7O3/c1-3(4)2-6-5/h4-5H,2H2,1H3
HO2CH2CHOHCHO                InChI=1S/C3H6O4/c4-1-3(5)2-7-6/h1,3,5-6H,2H2
IC3H6OH-2O2                  InChI=1S/C3H7O3/c1-3(2,4)6-5/h4H,1-2H3
IC3H6OH-1OOH-3O2             InChI=1S/C3H7O5/c4-3(1-7-5)2-8-6/h3-5H,1-2H2
C2H4CHO-2O2                  InChI=1S/C3H5O3/c1-3(2-4)6-5/h2-3H,1H3
C2H4CHO-3O2                  InChI=1S/C3H5O3/c4-2-1-3-6-5/h2H,1,3H2
CH3CHOOHCJO                  InChI=1S/C3H5O3/c1-3(2-4)6-5/h3,5H,1H3
HO2CH2CH2CJO                 InChI=1S/C3H5O3/c4-2-1-3-6-5/h5H,1,3H2
C4H2                         InChI=1S/C4H2/c1-3-4-2/h1-2H
PC4H8OH-4                    InChI=1S/C4H9O/c1-2-3-4-5/h5H,1-4H2
PC4H9O2                      InChI=1S/C4H9O2/c1-2-3-4-6-5/h2-4H2,1H3
SC4H8OH-3O2H                 InChI=1S/C4H10O3/c1-3(5)4(2)7-6/h3-6H,1-2H3
C4H3-I                       InChI=1S/C4H3/c1-3-4-2/h1H,2H2
SC4H8OH-3                    InChI=1S/C4H9O/c1-3-4(2)5/h3-5H,1-2H3
SC4H9O2                      InChI=1S/C4H9O2/c1-3-4(2)6-5/h4H,3H2,1-2H3
SC4H8OH-2O2H                 InChI=1S/C4H10O3/c1-3-4(2,5)7-6/h5-6H,3H2,1-2H3
C4H3-N                       InChI=1S/C4H3/c1-3-4-2/h1-3H
SC4H8OH-4                    InChI=1S/C4H9O/c1-3-4(2)5/h4-5H,1,3H2,2H3
C4H8OOH1-2                   InChI=1S/C4H9O2/c1-2-3-4-6-5/h3,5H,2,4H2,1H3
